Audit Entity ID,Control ID,Control Title,Control Description,KPA ID,KPA Description,Specific Risk ID,Specific Risk Description
AE-1,CTRL-0001,Operating control over Credit Origination,Control operated within Credit Origination. Mitigates the risk: Risk that credit decisioning criteria are not applied at origination. Evidence is retained per the control operator's workpapers and is executed at the transaction or event level.,KPA-002,Credit Origination,SR-110,Risk that credit decisioning criteria are not applied at origination
AE-1,CTRL-0002,Operating control over Credit Origination,Control operated within Credit Origination. Mitigates the risk: Risk that credit limits are not approved per delegated authority. Evidence is retained per the control operator's workpapers and is executed at the transaction or event level.,KPA-002,Credit Origination,SR-111,Risk that credit limits are not approved per delegated authority
AE-1,CTRL-0003,Operating control over Credit Origination,Control operated within Credit Origination. Mitigates the risk: Risk that credit limits are not approved per delegated authority. Evidence is retained per the control operator's workpapers and is executed at the transaction or event level.,KPA-002,Credit Origination,SR-111,Risk that credit limits are not approved per delegated authority
AE-1,CTRL-0004,Operating control over Account Servicing,Control operated within Account Servicing. Mitigates the risk: Risk that customer complaints are not logged and triaged. Evidence is retained per the control operator's workpapers and is executed at the transaction or event level.,KPA-005,Account Servicing,SR-129,Risk that customer complaints are not logged and triaged
AE-1,CTRL-0005,Operating control over Account Servicing,Control operated within Account Servicing. Mitigates the risk: Risk that customer complaints are not logged and triaged. Evidence is retained per the control operator's workpapers and is executed at the transaction or event level.,KPA-005,Account Servicing,SR-129,Risk that customer complaints are not logged and triaged
AE-1,CTRL-0006,Operating control over Account Servicing,Control operated within Account Servicing. Mitigates the risk: Risk that customer complaints are not logged and triaged. Evidence is retained per the control operator's workpapers and is executed at the transaction or event level.,KPA-005,Account Servicing,SR-129,Risk that customer complaints are not logged and triaged
AE-1,CTRL-0007,Operating control over Customer Onboarding,Control operated within Customer Onboarding. Mitigates the risk: Risk that Customer Due Diligence is not refreshed per policy cadence. Evidence is retained per the control operator's workpapers and is executed at the transaction or event level.,KPA-001,Customer Onboarding,SR-102,Risk that Customer Due Diligence is not refreshed per policy cadence
AE-1,CTRL-0008,Operating control over Customer Onboarding,Control operated within Customer Onboarding. Mitigates the risk: Risk that sanctions screening is not performed at customer onboarding. Evidence is retained per the control operator's workpapers and is executed at the transaction or event level.,KPA-001,Customer Onboarding,SR-103,Risk that sanctions screening is not performed at customer onboarding
AE-1,CTRL-0009,Program-level oversight of Issue Management,Governance control providing oversight of Issue Management. Mitigates the risk: Risk that periodic entity-level risk assessments are not completed. Evidence is produced at the program or framework level and is reviewed by second-line governance on a defined cadence.,KPA-014,Issue Management,SR-128,Risk that periodic entity-level risk assessments are not completed
AE-1,CTRL-0010,Program-level oversight of AML Program Framework,Governance control providing oversight of AML Program Framework. Mitigates the risk: Risk that the AML program framework and policies are not maintained. Evidence is produced at the program or framework level and is reviewed by second-line governance on a defined cadence.,KPA-016,AML Program Framework,SR-105,Risk that the AML program framework and policies are not maintained
AE-1,CTRL-0011,Program-level oversight of Vendor Performance Monitoring,Governance control providing oversight of Vendor Performance Monitoring. Mitigates the risk: Risk that vendor SLAs and performance are not monitored periodically. Evidence is produced at the program or framework level and is reviewed by second-line governance on a defined cadence.,KPA-009,Vendor Performance Monitoring,SR-117,Risk that vendor SLAs and performance are not monitored periodically
AE-1,CTRL-0012,Operating control over Account Servicing,Control operated within Account Servicing. Mitigates the risk: Risk that customer complaints are not logged and triaged. Evidence is retained per the control operator's workpapers and is executed at the transaction or event level.,KPA-005,Account Servicing,SR-129,Risk that customer complaints are not logged and triaged
AE-1,CTRL-0013,Operating control over Customer Onboarding,Control operated within Customer Onboarding. Mitigates the risk: Risk that Customer Due Diligence is not refreshed per policy cadence. Evidence is retained per the control operator's workpapers and is executed at the transaction or event level.,KPA-001,Customer Onboarding,SR-102,Risk that Customer Due Diligence is not refreshed per policy cadence
AE-1,CTRL-0014,Program-level oversight of Issue Management,Governance control providing oversight of Issue Management. Mitigates the risk: Risk that audit findings are not tracked to remediation. Evidence is produced at the program or framework level and is reviewed by second-line governance on a defined cadence.,KPA-014,Issue Management,SR-124,Risk that audit findings are not tracked to remediation
AE-1,CTRL-0015,Program-level oversight of AML Transaction Monitoring Calibration,Governance control providing oversight of AML Transaction Monitoring Calibration. Mitigates the risk: Risk that Suspicious Activity Reports are not filed within regulatory deadlines. Evidence is produced at the program or framework level and is reviewed by second-line governance on a defined cadence.,KPA-017,AML Transaction Monitoring Calibration,SR-108,Risk that Suspicious Activity Reports are not filed within regulatory deadlines
AE-1,CTRL-0016,Operating control over Customer Onboarding,Control operated within Customer Onboarding. Mitigates the risk: Risk that Customer Due Diligence is not refreshed per policy cadence. Evidence is retained per the control operator's workpapers and is executed at the transaction or event level.,KPA-001,Customer Onboarding,SR-102,Risk that Customer Due Diligence is not refreshed per policy cadence
AE-1,CTRL-0017,Operating control over Customer Onboarding,Control operated within Customer Onboarding. Mitigates the risk: Risk that sanctions screening is not performed at customer onboarding. Evidence is retained per the control operator's workpapers and is executed at the transaction or event level.,KPA-001,Customer Onboarding,SR-103,Risk that sanctions screening is not performed at customer onboarding
AE-1,CTRL-0018,Operating control over Access Management,Control operated within Access Management. Mitigates the risk: Risk that user access is not recertified on the required cadence. Evidence is retained per the control operator's workpapers and is executed at the transaction or event level.,KPA-010,Access Management,SR-119,Risk that user access is not recertified on the required cadence
AE-1,CTRL-0019,Operating control over Access Management,Control operated within Access Management. Mitigates the risk: Risk that user access is not recertified on the required cadence. Evidence is retained per the control operator's workpapers and is executed at the transaction or event level.,KPA-010,Access Management,SR-119,Risk that user access is not recertified on the required cadence
