Audit Entity ID,Audit Entity Name,Wave,Audit Entity Type,Audit Entity Status,Audit Entity Overview,Business Unit,Line of Defense,Subsidiary Bank,Core Audit Team,Integrated Team,Audit Leader,PGA/ASL,Minimum Audit Frequency,Do you want to override the Minimum Audit Frequency?,Override Minimum Audit Frequency,Last Risk Assessment Date,Last AXP (Most Recent) Audit Report Issued Date,Hand-offs from Other Audit Entities,Hand-offs to Other Audit Entities,Hand-off Description,PRIMARY IT APPLICATIONS (MAPPED),SECONDARY IT APPLICATIONS (RELATED OR RELIED ON),PRIMARY TLM THIRD PARTY ENGAGEMENT,SECONDARY TLM THIRD PARTY ENGAGEMENTS (RELATED),Models,PRSA,POLICIES/STANDARDS/PROCEDURES,Compliance Inherent Risk,Compliance Residual Risk,Compliance Control Assessment,Country Inherent Risk,Country Residual Risk,Country Control Assessment,Credit Inherent Risk,Credit Residual Risk,Credit Control Assessment,External Fraud Inherent Risk,External Fraud Residual Risk,External Fraud Control Assessment,Financial Reporting Inherent Risk,Financial Reporting Residual Risk,Financial Reporting Control Assessment,Funding & Liquidity Inherent Risk,Funding & Liquidity Residual Risk,Funding & Liquidity Control Assessment,Information Technology Inherent Risk,Information Technology Residual Risk,Information Technology Control Assessment,Information Security Inherent Risk,Information Security Residual Risk,Information Security Control Assessment,Model Inherent Risk,Model Residual Risk,Model Control Assessment,Market Inherent Risk,Market Residual Risk,Market Control Assessment,Operational Inherent Risk,Operational Residual Risk,Operational Control Assessment,Reputational Inherent Risk,Reputational Residual Risk,Reputational Control Assessment,Strategic & Business Inherent Risk,Strategic & Business Residual Risk,Strategic & Business Control Assessment,Third Party Inherent Risk,Third Party Residual Risk,Third Party Control Assessment
AE-1,Consumer Lending,Wave 3,Audit,Active,This entity covers the consumer lending function.,Global Consumer,1st Line of Defense,AEBC (American Express Banking Corp.),TIPS,TIPS,"Williams, David",,1 Year,Yes,1.5 Years,3/15/2027,3/1/2024,AE-24;AE-15,AE-19;AE-45;AE-43;AE-6;AE-40,Processes are handed off related to consumer lending operations.,SharePoint;ARA-988;ARA-2057;FIS Payment Hub,ARA-995;JIRA;MS Teams,Wolters Kluwer,Deloitte,Interest Rate Risk Model,PR-00189,POL-009;POL-003;POL-007;STD-001,Low,Critical,Insufficiently Controlled,Medium,High,Insufficiently Controlled,Low,Critical,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Low,High,Insufficiently Controlled,Critical,Medium,Well Controlled,Low,Medium,Well Controlled,Medium,Medium,Well Controlled,Not Applicable,Not Applicable,Not Applicable,High,High,Partially Controlled,Critical,High,Insufficiently Controlled,Critical,Medium,Well Controlled,High,High,Insufficiently Controlled
AE-2,Commercial Banking,Wave 4,Audit,Active,This entity covers the commercial banking function.,Global Consumer,2nd Line of Defense,AENB (American Express National Bank),Cyber and IT Process,,"Brown, Lisa",,3 Years,No,,3/15/2027,9/15/2024,AE-25,AE-36,Processes are handed off related to commercial banking operations.,ARA-1516;Archer GRC;Workday HCM;Oracle Financials,,,IBM,GL-765,PR-00555,POL-003,Critical,High,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,High,Critical,Insufficiently Controlled,Critical,Medium,Partially Controlled,Medium,Critical,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Critical,High,Insufficiently Controlled,Critical,Critical,Insufficiently Controlled,Low,High,Insufficiently Controlled,High,Critical,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable
AE-3,Wealth Management,Wave 1,Audit,Active,This entity covers the wealth management function.,Technology,2nd Line of Defense,AEBC (American Express Banking Corp.),Treasury and Market Risk,,"Garcia, Maria","Mukhopadhyay, Jaydip",3 Years,Yes,1 Year,9/25/2029,3/1/2024,AE-13;AE-19;AE-31,AE-6,Processes are handed off related to wealth management operations.,ARA-3836;ARA-2433;JIRA;Splunk SIEM,,,,TLM311660103,PR-00721;PR-001747,POL-002;POL-006;STD-003;POL-001,Low,High,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable,Medium,High,Partially Controlled,Medium,Critical,Insufficiently Controlled,High,High,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,High,Low,Well Controlled,Low,Low,Well Controlled,Low,Medium,Partially Controlled,High,Critical,Insufficiently Controlled,Medium,Critical,Insufficiently Controlled,Critical,Medium,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,High,High,Partially Controlled
AE-4,Treasury Operations,Wave 3,Audit,Active,This entity covers the treasury operations function.,Global Commercial,2nd Line of Defense,ABC (American Express Bank),Cyber and IT Process,Cyber and IT Process;APAC,"Williams, David",,1.5 Years,No,,7/13/2018,12/1/2022,,AE-18,,,ARA-995,FICO;TCS,TCS,Credit Scorecard v3;TLM311720686,PR-00262;PR-001939,POL-009;POL-002;POL-001;STD-001,High,High,Partially Controlled,Critical,Low,Well Controlled,Low,High,Insufficiently Controlled,Low,Medium,Well Controlled,Medium,Low,Well Controlled,Low,High,Insufficiently Controlled,Medium,Medium,Partially Controlled,Medium,High,Insufficiently Controlled,Critical,Critical,Insufficiently Controlled,Medium,Critical,Insufficiently Controlled,Critical,Medium,Well Controlled,Low,Medium,Well Controlled,Low,Low,Well Controlled,Medium,Medium,Partially Controlled
AE-5,Wire Transfers,Wave 3,Audit,Active,This entity covers the wire transfers function.,Risk & Compliance,1st Line of Defense,ABC (American Express Bank),ITGC,Cyber and IT Process;TIPS,"Williams, David",,1.5 Years,No,,7/13/2018,,,,Processes are handed off related to wire transfers operations.,ARA-2057;CyberArk PAM,ARA-2433;ARA-3836,Amazon Web Services;Broadridge;Microsoft,FICO,,PR-00555;PR-001747,POL-002;STD-004;POL-001,High,Medium,Well Controlled,Critical,High,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable,Medium,High,Insufficiently Controlled,Medium,Medium,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,Low,Medium,Partially Controlled,Low,High,Partially Controlled,Medium,Low,Well Controlled,Medium,Medium,Partially Controlled,High,Medium,Partially Controlled,Low,Medium,Partially Controlled,Medium,Medium,Well Controlled,Medium,Low,Well Controlled
AE-6,ACH Processing,Wave 1,Audit,Active,This entity covers the ach processing function.,Technology,2nd Line of Defense,AENB (American Express National Bank),TIPS,TIPS,"Garcia, Maria","Challita, Sylvia",1.5 Years,No,,6/11/2018,6/30/2023,AE-16;AE-13;AE-35,AE-4;AE-37;AE-17,Processes are handed off related to ach processing operations.,,ARA-655;Python Analytics Platform;FIS Payment Hub,FIS;FICO,Moody's,Liquidity Stress Model;US-3657;BSA/AML Detection Model,PR-00721;PR-001235,POL-009;PROC-002,Medium,High,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,High,Critical,Insufficiently Controlled,Low,Critical,Insufficiently Controlled,Critical,High,Partially Controlled,Medium,Medium,Well Controlled,Critical,High,Insufficiently Controlled,High,Medium,Partially Controlled,Medium,High,Partially Controlled,Critical,High,Insufficiently Controlled,Medium,High,Insufficiently Controlled,High,Low,Well Controlled,Medium,Low,Well Controlled,Not Applicable,Not Applicable,Not Applicable
AE-7,Card Operations,Wave 4,Audit,Active,This entity covers the card operations function.,Global Commercial,2nd Line of Defense,AENB (American Express National Bank),APAC,TIPS,"Chen, Wei","Challita, Sylvia",3 Years,Yes,1 Year,9/25/2029,,AE-26;AE-19,AE-18;AE-6;AE-32,,ARA-2433;ServiceNow;ARA-988;JIRA,,,,US-856,PR-00555,POL-008;POL-005,Medium,High,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,High,High,Partially Controlled,Low,Low,Well Controlled,Medium,High,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable,Critical,Medium,Partially Controlled,Critical,Medium,Partially Controlled,Critical,Medium,Partially Controlled,High,High,Partially Controlled,Medium,Medium,Partially Controlled,Critical,Medium,Well Controlled,Critical,High,Insufficiently Controlled,Medium,High,Insufficiently Controlled
AE-8,Merchant Services,Wave 3,Audit,Active,This entity covers the merchant services function.,Corporate Functions,2nd Line of Defense,AEBM (American Express Bank Mexico),TIPS,Cyber and IT Process;ITGC,"Chen, Wei",,3 Years,No,,11/21/2025,6/30/2023,AE-30;AE-17,AE-38;AE-41;AE-44,Processes are handed off related to merchant services operations.,,Murex Trading;Workday HCM;ARA-2057,TCS;Amazon Web Services;Cognizant,Cognizant,Credit Scorecard v3;GL-765,PR-001939,STD-004;PROC-001,Low,High,Insufficiently Controlled,High,Medium,Partially Controlled,Low,Medium,Well Controlled,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Critical,Medium,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,Medium,Medium,Well Controlled,Low,High,Insufficiently Controlled,Critical,Critical,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable,Low,High,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,Critical,High,Insufficiently Controlled
AE-9,Mortgage Origination,Wave 4,Audit,Active,This entity covers the mortgage origination function.,Technology,2nd Line of Defense,ABC (American Express Bank),Treasury and Market Risk,,"Chen, Wei",,1 Year,No,,9/25/2029,6/30/2023,,AE-33;AE-5;AE-38,Processes are handed off related to mortgage origination operations.,,ARA-655,EY;Wipro,,Market VaR Model;Liquidity Stress Model;Fraud Neural Net v2,PR-00334,STD-005;PROC-005;POL-010;STD-004,Medium,Critical,Insufficiently Controlled,Critical,Medium,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,Medium,High,Partially Controlled,High,High,Partially Controlled,Critical,High,Partially Controlled,Low,High,Insufficiently Controlled,Medium,Low,Well Controlled,High,Critical,Insufficiently Controlled,Medium,Medium,Partially Controlled,High,Low,Well Controlled,Low,Critical,Insufficiently Controlled,Medium,Critical,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable
AE-10,Mortgage Servicing,Wave 1,Audit,Active,This entity covers the mortgage servicing function.,Global Consumer,1st Line of Defense,AEBC (American Express Banking Corp.),ITGC,APAC;Treasury and Market Risk,"Johnson, Sarah","Mukhopadhyay, Jaydip",4 Years,No,,9/25/2029,12/1/2022,AE-39,AE-42;AE-33;AE-6,Processes are handed off related to mortgage servicing operations.,Workday HCM;Confluence;ARA-3836,Workday HCM,Thomson Reuters;Fiserv;IBM,Moody's,,PR-001939;PR-00189,STD-001;POL-004;STD-003,Low,High,Insufficiently Controlled,Medium,High,Insufficiently Controlled,Low,Low,Well Controlled,Low,Low,Well Controlled,Critical,Medium,Partially Controlled,High,Critical,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable,High,High,Insufficiently Controlled,Medium,High,Insufficiently Controlled,Medium,Low,Well Controlled,High,Critical,Insufficiently Controlled,Critical,Critical,Insufficiently Controlled,High,Critical,Insufficiently Controlled,Low,High,Partially Controlled
